host_ID,museum_number,animal_id,day,month,year,season,final_identification,field_identification,preparation,locality,dist_village_center,village,grid_name,grid_number,habitat_type,trap_type,trap_number,pitfall_position,latitude,longitude,elevation.obs,sex,tl,tv,hf,ear,mass,hb,testicle_position,testicle_length,testicle_width,epididym,mammae_condition,mammae_number_ax,mammae_number_ab,mammae_number_ing,vagina,embryos_l,embryos_r,embryos_cr,placental_scars_l,placental_scars_r,age_repro,age_dental,habitat_description,notes
2010,UADBA-51549,TMR-2010,2,10,2019,1,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",2.21 km NW Mandena,Mandena,Savoka,1,brushy_regrowth,Sherman,1,NA,-14.4660520087927,49.7993520274758,144.218796,female,[336],[192],33,21,80,153,NA,NA,NA,NA,sm. x lg.,0,0,2,perf.,0,4,5,0,0,2,2,"savoka dominated by Artocarpus altilis, next to a tree up to 10 m high",no
2011,UADBA-51550,TMR-2011,2,10,2019,1,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",2.21 km NW Mandena,Mandena,Savoka,1,brushy_regrowth,Sherman,15,NA,-14.4661660026758,49.7988640330731,145.284957999999,male,310,176,29,20,51,134,abdominal,4,1,not con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,"savoka, in a clump of Aframomum and Clidemia hirta",no
2013,UADBA-51552,TMR-2013,2,10,2019,1,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",2.21 km NW Mandena,Mandena,Savoka,1,brushy_regrowth,Sherman,65,NA,-14.4656869769096,49.7990790288895,118.188316,female,354,202,32,21,88,157,NA,NA,NA,NA,sm. x lg.,0,1,2,perf.,0,0,NA,0,0,1,2,"vanilla field, near a banana tree up to 3 m high, with some coffee tree around",no
2014,UADBA-51553,TMR-2014,2,10,2019,1,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",2.21 km NW Mandena,Mandena,Savoka,1,brushy_regrowth,Sherman,90,NA,-14.4653589930385,49.7990119736641,133.551436999999,male,344,199,34,22,77,148,abdominal,14,6,not con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,"savoka, next to a rock, below dead and dry brushwood",no
2015,UADBA-51554,TMR-2015,2,10,2019,1,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",2.21 km NW Mandena,Mandena,Savoka,1,brushy_regrowth,Sherman,105,NA,-14.465502994135,49.7987340297549,145.232788,female,311,182,31,22,65,134,NA,NA,NA,NA,small,0,0,0,perf.,0,0,NA,0,0,1,2,"savoka, under a tuft of dead wood, with some ferns and Aframomum around",no
2016,UADBA-51555,TMR-2016,2,10,2019,1,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",2.21 km NW Mandena,Mandena,Savoka,1,brushy_regrowth,Tomahawk,10,NA,-14.4662970118224,49.7986910305917,144.533478,female,340,187,31,20,81,157,NA,NA,NA,NA,large,1,2,2,perf.,2,1,3,0,0,2,2,"savoka, next to a Syzygium jambos tree up to 4 m high",no
2017,UADBA-51556,TMR-2017,2,10,2019,1,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",2.21 km NW Mandena,Mandena,Savoka,1,brushy_regrowth,Tomahawk,23,NA,-14.4659500010311,49.7993070166558,132.378479,male,345,190,32,20,95,162,abdominal,15,5,not con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,"savoka, near a rock with some Jatropha and coffee trees",no
2018,UADBA-51557,TMR-2018,2,10,2019,1,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",2.21 km NW Mandena,Mandena,Savoka,1,brushy_regrowth,Tomahawk,37,NA,-14.4660230074077,49.7987399809062,148.738204999999,male,357,212,35,22,90,155,abd. / scrot.,18,9,con. x not con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,2,"savoka dominated by Aframomum, in a clump of dead branch",no
2019,UADBA-51558,TMR-2019,2,10,2019,1,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",2.21 km NW Mandena,Mandena,Savoka,1,brushy_regrowth,Tomahawk,57,NA,-14.4658550340682,49.7984770406037,127.53524,female,315,182,33,21,66,140,NA,NA,NA,NA,small,0,0,0,perf.,0,0,NA,0,0,1,1,"savoka, under a tuft of Clidemia hirta and Aframomum and some bamboo leaves",no
2020,UADBA-51559,TMR-2020,2,10,2019,1,Rattus rattus,Rattus rattus,"skull, tail","Madagascar, Région SAVA, District Sambava, Commune Rurale Maroambihy, Fokontany Mandena",2.21 km NW Mandena,Mandena,Savoka,1,brushy_regrowth,Tomahawk,62,NA,-14.4658210035413,49.798906026408,127.467392,male,344,202,32,20,79,150,abd. / scrot.,12,7,not con.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,2,"savoka, next to a tree up to 3 m high with some Aframomum around",no
